id,subject_type,subject_id,predicate,value,source_id,evidence_status,extracted_by,extractor_run_id,reviewed_by,reviewed_at,valid_from,valid_to,notes
asrt_bulk_003b9570b263b2c7,product,prod_ad4f1a22ff85d12b,lifecycle_status,active,src_705592f873593725,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening paragraph and complete energy trading platform feature list; contact block gives the Cape Town address.
asrt_bulk_06ba2d4f51e3844e,organisation,org_907aa74533dc527b,country_of_origin,US,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming a Wide Area Monitoring System designed for grid stability.
asrt_bulk_06f2d4c35faed9f0,deployment,dep_3bf37cad1e299f2e,product_id,prod_65cb59d227c4267f,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_07f245711a078232,product,prod_bc70438d15454ac9,access_model,commercial,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming a Wide Area Monitoring System designed for grid stability.
asrt_bulk_1693e546d3921d48,organisation,org_6813554323495fa0,country_of_origin,ZA,src_705592f873593725,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening paragraph and complete energy trading platform feature list; contact block gives the Cape Town address.
asrt_bulk_17f8c43a8b59e723,product,prod_ad4f1a22ff85d12b,primary_category_id,cat_trading_wheeling_settlement,src_705592f873593725,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening paragraph and complete energy trading platform feature list; contact block gives the Cape Town address.
asrt_bulk_1984e35cb0d5b1cb,organisation,org_930efc4050b16d68,origin_classification,public_or_open_infrastructure,src_7c0c0c942fa173cd,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Main project paragraph describes continent-wide African country and transmission-link coverage and states that the model is open source.
asrt_bulk_1a6e74fd017fde4b,deployment,dep_3bf37cad1e299f2e,country_iso2,BJ,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_1dc1c6c150130219,product,prod_ad4f1a22ff85d12b,organisation_id,org_6813554323495fa0,src_705592f873593725,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening paragraph and complete energy trading platform feature list; contact block gives the Cape Town address.
asrt_bulk_21c1d2bca32dfeab,organisation,org_907aa74533dc527b,website,https://www.gevernova.com/,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_24e4eee6835055b2,product,prod_65cb59d227c4267f,name,GridOS Energy Management System,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_27e6a30f16bdcd61,product,prod_65cb59d227c4267f,website,https://www.gevernova.com/software/products/grid-os,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_298cdefb549e8cc6,product,prod_ad4f1a22ff85d12b,website,https://www.switch.org.za/energy-trading-wheeling,src_705592f873593725,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening paragraph and complete energy trading platform feature list; contact block gives the Cape Town address.
asrt_bulk_2b293e00bbfb6aff,organisation,org_907aa74533dc527b,website,https://www.gevernova.com/,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming a Wide Area Monitoring System designed for grid stability.
asrt_bulk_2b80517ff988e6a4,product,prod_65cb59d227c4267f,description,"Transmission control-centre software for dispatch, real-time monitoring, generation-demand balancing, network analysis and renewable integration.",src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_32fc7dce1b32fff4,organisation,org_907aa74533dc527b,origin_classification,global_deployed_in_africa,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming a Wide Area Monitoring System designed for grid stability.
asrt_bulk_36e8bc736e855fc4,product,prod_8c028e7d3c878e74,lifecycle_status,active,src_7c0c0c942fa173cd,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Main project paragraph describes continent-wide African country and transmission-link coverage and states that the model is open source.
asrt_bulk_37164dd4b309284f,deployment,dep_3bf37cad1e299f2e,customer_disclosure,named,src_c7616caa46f7a0c2,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Opening announcement and ICC technology list naming an Energy Management System engineered for dispatching.
asrt_bulk_39763a7c0f5b9983,organisation,org_d48d027ab1a1011c,website,https://openaccess.energy/,src_8055fc93905afd67,provider_claim_only,ai_assisted_research,batch_001_release_013,kaykluz,2026-08-02,,,Human reviewed. Source locator: Our Solutions / Energypro Transactions section names the product and describes contract and transaction automation.
