id,subject_type,subject_id,predicate,value,source_id,evidence_status,extracted_by,extractor_run_id,reviewed_by,reviewed_at,valid_from,valid_to,notes
asrt_bulk_03af840c5b28ae20,organisation,org_e6912eb1478e941d,name,Green Innovation Ventures,src_419b4f8f3ed72377,independently_evidenced,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Project description names PowerPay and describes monitoring, revenue collection, asset management and energy-use tracking; page reports current use in East Africa."
asrt_bulk_04a11869850b823b,organisation,org_530820839614a2eb,country_of_origin,US,src_fdebbdff203ee17c,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution section describing 20 field crews using ArcGIS Survey123 to collect customer, property, meter and equipment information."
asrt_bulk_0f87ef543ef11d69,deployment,dep_8ba702b9e523b312,customer_name,Bboxx Mali,src_2f4a7e763bb7e671,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: Country profile opening paragraphs: operations launched as Bboxx in 2023 and use Bboxx Pulse in Mali.
asrt_bulk_13b196fc217c807e,deployment,dep_8ba702b9e523b312,country_iso2,ML,src_2f4a7e763bb7e671,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: Country profile opening paragraphs: operations launched as Bboxx in 2023 and use Bboxx Pulse in Mali.
asrt_bulk_14f1a7c68976fc33,product,prod_faed4459e7d6ab27,sector_id,sector_power_utilities,src_fdebbdff203ee17c,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution section describing 20 field crews using ArcGIS Survey123 to collect customer, property, meter and equipment information."
asrt_bulk_176d5f41404216ab,product,prod_99b7bcd9a368219b,sector_id,sector_power_utilities,src_c884b377e1fc531b,public_source,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: IMPACCT Framework paragraph names NISMOD for national infrastructure planning.
asrt_bulk_1955652a1c7cfd7a,product,prod_faed4459e7d6ab27,primary_category_id,cat_planning_geospatial,src_fdebbdff203ee17c,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution section describing 20 field crews using ArcGIS Survey123 to collect customer, property, meter and equipment information."
asrt_bulk_1a78f5d31f7d86ed,deployment,dep_8ba702b9e523b312,customer_disclosure,named,src_2f4a7e763bb7e671,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: Country profile opening paragraphs: operations launched as Bboxx in 2023 and use Bboxx Pulse in Mali.
asrt_bulk_1b03bcb5faadfc76,product,prod_faed4459e7d6ab27,name,ArcGIS Survey123,src_fdebbdff203ee17c,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution section describing 20 field crews using ArcGIS Survey123 to collect customer, property, meter and equipment information."
asrt_bulk_1ed6176d05369c20,product,prod_a4f1a4a52c37c33c,primary_category_id,cat_paygo_minigrid_operations,src_36ff3d019dab7c6f,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: Overview paragraphs identifying Kazang Solar as a Zambian PAYGo solar distributor and stating it adopted PaygOps in late 2022.
asrt_bulk_2683fce3b9ff2e7d,organisation,org_530820839614a2eb,website,https://www.esri.com/,src_fdebbdff203ee17c,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution section describing 20 field crews using ArcGIS Survey123 to collect customer, property, meter and equipment information."
asrt_bulk_27b272a46feaa758,organisation,org_b4e978f005016067,name,Climate Compatible Growth,src_c884b377e1fc531b,public_source,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: IMPACCT Framework paragraph names NISMOD for national infrastructure planning.
asrt_bulk_306017117ba1ee4b,deployment,dep_6c7d4295f3f84919,started_year,2018,src_1aba15c2ac9250fc,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Solution paragraph selecting ArcGIS Enterprise and Results paragraphs stating installation in 2018, portal deployment, dashboards and spatial analysis."
asrt_bulk_32e0516022d36acb,product,prod_14d47cbe194106c4,name,Bboxx Pulse,src_2f4a7e763bb7e671,provider_claim_only,ai_assisted_research,batch_001_release_009,kaykluz,2026-08-02,,,Human reviewed. Source locator: Country profile opening paragraphs: operations launched as Bboxx in 2023 and use Bboxx Pulse in Mali.
